Command;Check With Previous;Check Default Value;Default Value to check
GET IMAGE_POLARITY;N;Y;False
SET IMAGE_POLARITY True;N;N;
GET IMAGE_POLARITY;Y;N;
SET IMAGE_POLARITY False;N;N;
GET IMAGE_POLARITY;Y;N;
GET EXPOSURE_TIME;N;Y;465
SET EXPOSURE_TIME 320;N;N;
GET EXPOSURE_TIME;Y;N;
SET EXPOSURE_TIME 300;N;N;
GET EXPOSURE_TIME;Y;N;
GET GAINMULTIPLIER;N;Y;0
SET GAINMULTIPLIER 9;N;N;
GET GAINMULTIPLIER;Y;N;
SET GAINMULTIPLIER 1;N;N;
GET GAINMULTIPLIER;Y;N;
GET GAIN;N;Y;13
SET GAIN 9;N;N;
GET GAIN;Y;N;
SET GAIN 8;N;N;
GET GAIN;Y;N;
GET READING_DISTANCE;N;Y;135
SET READING_DISTANCE 452;N;N;
GET READING_DISTANCE;Y;N;
SET READING_DISTANCE 50;N;N;
GET READING_DISTANCE;Y;N;
GET ILL_SECTORS;N;Y;"5,6,7,8"
SET ILL_SECTORS 5;N;N;
GET ILL_SECTORS;Y;N;
SET ILL_SECTORS 5,6;N;N;
GET ILL_SECTORS;Y;N;
SAVE HMPConfiguration;N;N;
