Command;Check With Previous;Check Default Value;Default Value to check
GET IMAGE_POLARITY;N;Y;False
SET IMAGE_POLARITY True;N;N;
GET IMAGE_POLARITY;Y;N;
SET IMAGE_POLARITY False;N;N;
GET IMAGE_POLARITY;Y;N;
GET HDR_SELECTOR;N;Y;0
SET HDR_SELECTOR 2;N;N;
GET HDR_SELECTOR;Y;N;
SET HDR_SELECTOR 0;N;N;
GET HDR_SELECTOR;Y;N;
GET EXPOSURE_TIME;N;Y;300
SET EXPOSURE_TIME 320;N;N;
GET EXPOSURE_TIME;Y;N;
SET EXPOSURE_TIME 300;N;N;
GET EXPOSURE_TIME;Y;N;
GET GAIN;N;Y;8
SET GAIN 9;N;N;
GET GAIN;Y;N;
SET GAIN 8;N;N;
GET GAIN;Y;N;
GET READING_DISTANCE;N;Y;517
SET READING_DISTANCE 1000;N;N;
GET READING_DISTANCE;Y;N;
SET READING_DISTANCE 35;N;N;
GET READING_DISTANCE;Y;N;
GET ILL_SECTORS;N;Y;"9;10"
SET ILL_SECTORS 9;N;N;
GET ILL_SECTORS;Y;N;
SET ILL_SECTORS 9,10;N;N;
GET ILL_SECTORS;Y;N;
SAVE HMPConfiguration;N;N;
